word_id,sent_id,is_primary
muessen-v,t6120,1
nach-p,g-nach-p,1
nachmittag-n,t633459,1
namen-n,t3406013,1
nehmen-v,t452244,1
nein-p,t6151,1
neu-a,t413925,1
neun-o,t411750,1
neunzehn-o,t1640433,1
neunzig-o,t10811046,1
nicht-a,t245,1
nichts-o,t2436792,1
nie-a,t562553,1
noch-a,t261,1
norden-n,t3048012,1
normal-a,t602956,1
november-n,t2831952,1
nummer-n,t2810116,1
nur-a,t3459105,1
naechst-o,g-naechst-o,1
oben-a,t3843794,1
obst-n,t8320606,1
oder-c,t415185,1
oft-a,t782144,1
ohne-o,t1791599,1
oktober-n,t4685306,1
oma-n,t8320875,1
opa-n,t8320876,1
ordnung-n,t5368984,1
ort-n,t7010104,1
osten-n,t4339492,1
papier-n,t6120,1
partner-n,t1892438,1
partnerin-n,g-partnerin-n,1
party-n,t777181,1
pass-n,t3016303,1
pause-n,t5305239,1
pfund-n,t637352,1
plan-n,t3026543,1
platz-n,t347963,1
polizei-n,t367353,1
pommes-frites-p,t7470018,1
post-n,t1714589,1
postleitzahl-n,t6667737,1
praktikum-n,t8620928,1
praxis-n,g-praxis-n,1
preis-n,t353655,1
problem-n,g-problem-n,1
prospekt-n,g-prospekt-n,1
prozent-n,g-prozent-n,1
pruefung-n,t413747,1
puenktlich-a,t616938,1
quadratmeter-n,g-quadratmeter-n,1
rad-fahren-p,g-rad-fahren-p,1
rauchen-v,t374373,1
raum-n,t8308228,1
rechnung-n,t1248,1
rechts-a,t8948532,1
regen-n,t7057399,1
regnen-v,t365356,1
reis-n,t2808346,1
reise-n,g-reise-n,1
reisebuero-n,t822231,1
reisefuehrer-n,t11550288,1
reisen-v,t1649034,1
reparatur-n,t8634551,1
reparieren-v,t1180758,1
restaurant-n,t342633,1
rezeption-n,t10857285,1
richtig-a,t1190957,1
riechen-v,t714411,1
rot-a,t415179,1
ruhig-a,t9040055,1
s-bahn-n,g-s-bahn-n,1
saft-n,t1771654,1
sagen-v,g-sagen-v,1
salat-n,t4886159,1
salz-n,t557521,1
samstag-n,t913900,1
satz-n,t623537,1
schalter-n,t3609144,1
scheinen-v,t3531476,1
schicken-v,g-schicken-v,1
schild-n,t608463,1
schinken-n,t356584,1
schlafen-v,t416,1
schlecht-a,g-schlecht-a,1
schliessen-v,t440487,1
schluss-n,g-schluss-n,1
schluessel-n,t4158407,1
schmecken-v,t341684,1
schnell-a,t7716581,1
schon-a,g-schon-a,1
schrank-n,t8914670,1
schreiben-v,t6120,1
schuh-n,t3071187,1
schule-n,t671,1
schwarz-a,t432626,1
schwer-a,g-schwer-a,1
schwester-n,t341541,1
schwimmbad-n,t6313213,1
schwimmen-v,t1494450,1
schoen-a,t1173,1
schueler-n,t3114161,1
sechs-o,t590698,1
sechzehn-o,t1624416,1
sechzig-o,t625754,1
see-n,t482157,1
sehen-v,t2230289,1
sehenswuerdigkeit-n,t5067623,1
sehr-a,t745738,1
sein-o,g-sein-o,1
sein-v,t150,1
seine-o,t362203,1
seit-o,t2140591,1
sekunde-n,t8218689,1
selbststaendig-a,t13902701,1
selbstaendig-a,t10043167,1
september-n,t8964708,1
sich-o,t622195,1
sie-o,t1055,1
sie-n,g-sie-n,1
sieben-o,t1706151,1
siebenzig-o,g-siebenzig-o,1
siebzehn-o,t517009,1
siebzig-o,t613667,1
sitzen-v,t770125,1
so-o,g-so-o,1
sofa-n,t520255,1
sofort-a,t1248,1
sohn-n,t127531,1
sollen-v,t397797,1
sommer-n,t340942,1
sonnabend-n,t913901,1
sonne-n,t4339492,1
sonntag-n,t604168,1
speisekarte-n,t1638102,1
speisenkarte-n,g-speisenkarte-n,1
spielen-v,t564,1
sport-n,t1358782,1
sprache-n,t644424,1
sprechen-v,t347949,1
spaet-a,t562553,1
spaeter-a,t535295,1
stadt-n,g-stadt-n,1
stehen-v,t3406013,1
stelle-n,g-stelle-n,1
stellen-v,t365946,1
stock-n,t351702,1
strasse-n,t820984,1
strassenbahn-n,t3646658,1
student-n,t6645759,1
studieren-v,t2223213,1
studium-n,t773915,1
stunde-n,g-stunde-n,1
suchen-v,t4503392,1
sueden-n,t2765532,1
tag-n,g-tag-n,1
tanzen-v,g-tanzen-v,1
tasche-n,g-tasche-n,1
tausend-o,t775059,1
taxi-n,t452244,1
tee-n,t341690,1
teil-n,t755428,1
telefon-n,t319,1
telefonieren-v,t518,1
termin-n,t477555,1
test-n,t431460,1
teuer-a,t3515132,1
text-n,t1267137,1
thema-n,t1391969,1
ticket-n,t2272535,1
tisch-n,t404126,1
tochter-n,t8280501,1
toilette-n,t928,1
tomate-n,t734493,1
tot-a,t782204,1
treffen-v,g-treffen-v,1
treppe-n,t591234,1
trinken-v,g-trinken-v,1
tschuess-i,t10967014,1
tun-v,t1561664,1
uhr-n,t397797,1
um-p,g-um-p,1
umziehen-v,g-umziehen-v,1
und-c,t700037,1
unser-o,g-unser-o,1
unsere-o,g-unsere-o,1
unsre-o,g-unsre-o,1
unten-a,g-unten-a,1
unter-p,g-unter-p,1
unterricht-n,t8381099,1
unterschreiben-v,t747464,1
unterschrift-n,t12499242,1
urlaub-n,t5881084,1
vater-n,t2198817,1
verboten-o,g-verboten-o,1
verdienen-v,t2226331,1
verein-n,t8939249,1
verheiratet-o,t341538,1
verkaufen-v,t1086020,1
verkaeufer-n,t12168517,1
vermieten-v,t1584704,1
vermieter-n,g-vermieter-n,1
verstehen-v,g-verstehen-v,1
verwandte-n,t10705428,1
viel-a,t413902,1
vielleicht-a,t1005,1
vier-o,t927,1
vierte-o,t1342833,1
viertel-n,t344350,1
vierzehn-o,t1980053,1
vierzig-o,t412965,1
von-p,t603770,1
vor-p,t1236,1
vormittag-n,t348141,1
vorname-n,t837981,1
vorsicht-n,t409907,1
vorstellen-v,t5964452,1
vorwahl-n,t361492,1
wagen-n,t1547095,1
wandern-v,t6833084,1
wann-a,t383114,1
warten-v,t396257,1
warum-a,t275,1
was-p,t245,1
was-fuer-ein-p,t3847161,1
was-fuer-eine-p,t438730,1
waschen-v,t5846917,1
wasser-n,t135990,1
